bank,filename,format,bytes,path
_guides,file_download_format_guide.pdf,pdf,204194,samples/raw/_guides/file_download_format_guide.pdf
_guides,how_to_view_account_balance.pdf,pdf,428706,samples/raw/_guides/how_to_view_account_balance.pdf
_guides,how_to_view_and_download_statements.pdf,pdf,454131,samples/raw/_guides/how_to_view_and_download_statements.pdf
_guides,qrg_view_statements_internet_banking.pdf,pdf,455640,samples/raw/_guides/qrg_view_statements_internet_banking.pdf
anz,anz_card_summary_sample.pdf,pdf,83132,samples/raw/anz/anz_card_summary_sample.pdf
anz,anz_creditcard_01.csv,csv,646,samples/raw/anz/anz_creditcard_01.csv
anz,anz_investmentfunds_statement_guide_sample.pdf,pdf,207747,samples/raw/anz/anz_investmentfunds_statement_guide_sample.pdf
anz,anz_kiwisaver_statement_guide_sample.pdf,pdf,209074,samples/raw/anz/anz_kiwisaver_statement_guide_sample.pdf
anz,anz_transaction_export_01.csv,csv,592,samples/raw/anz/anz_transaction_export_01.csv
anz,anz_transaction_export_02.csv,csv,271,samples/raw/anz/anz_transaction_export_02.csv
anz,anz_xero_import_sample_01.csv,csv,812,samples/raw/anz/anz_xero_import_sample_01.csv
asb,asb_transaction_export_01.csv,csv,528,samples/raw/asb/asb_transaction_export_01.csv
asb,asb_transaction_export_02.tdv,tdv,528,samples/raw/asb/asb_transaction_export_02.tdv
asb,asb_transaction_export_03.csv,csv,652,samples/raw/asb/asb_transaction_export_03.csv
asb,asb_xero_import_sample_01.csv,csv,796,samples/raw/asb/asb_xero_import_sample_01.csv
bnz,bnz_app_view_statement.pdf,pdf,218174,samples/raw/bnz/bnz_app_view_statement.pdf
bnz,bnz_savings_01.csv,csv,401,samples/raw/bnz/bnz_savings_01.csv
bnz,bnz_transaction_export_01.csv,csv,499,samples/raw/bnz/bnz_transaction_export_01.csv
bnz,bnz_transaction_export_02.csv,csv,541,samples/raw/bnz/bnz_transaction_export_02.csv
bnz,bnz_xero_import_sample_01.csv,csv,796,samples/raw/bnz/bnz_xero_import_sample_01.csv
kiwibank,kiwibank_savings_01.ofx,ofx,1015,samples/raw/kiwibank/kiwibank_savings_01.ofx
kiwibank,kiwibank_transaction_01.csv,csv,711,samples/raw/kiwibank/kiwibank_transaction_01.csv
kiwibank,kiwibank_xero_import_sample_01.csv,csv,836,samples/raw/kiwibank/kiwibank_xero_import_sample_01.csv
synthetic,synthetic_edge_date_format_mismatch_01.csv,csv,205,samples/raw/synthetic/synthetic_edge_date_format_mismatch_01.csv
synthetic,synthetic_edge_decimal_comma_01.csv,csv,175,samples/raw/synthetic/synthetic_edge_decimal_comma_01.csv
synthetic,synthetic_edge_duplicate_transactions_01.csv,csv,241,samples/raw/synthetic/synthetic_edge_duplicate_transactions_01.csv
synthetic,synthetic_edge_long_memo_01.csv,csv,393,samples/raw/synthetic/synthetic_edge_long_memo_01.csv
synthetic,synthetic_edge_missing_balance_01.csv,csv,170,samples/raw/synthetic/synthetic_edge_missing_balance_01.csv
synthetic,synthetic_edge_mixed_currency_01.csv,csv,221,samples/raw/synthetic/synthetic_edge_mixed_currency_01.csv
synthetic,synthetic_edge_reversed_signs_01.csv,csv,207,samples/raw/synthetic/synthetic_edge_reversed_signs_01.csv
synthetic,synthetic_edge_summary_rows_01.csv,csv,197,samples/raw/synthetic/synthetic_edge_summary_rows_01.csv
synthetic,synthetic_edge_trailing_footer_01.csv,csv,193,samples/raw/synthetic/synthetic_edge_trailing_footer_01.csv
synthetic,synthetic_edge_utf8_bom_01.csv,csv,140,samples/raw/synthetic/synthetic_edge_utf8_bom_01.csv
synthetic,synthetic_split_amounts_01.csv,csv,199,samples/raw/synthetic/synthetic_split_amounts_01.csv
synthetic,synthetic_statement_01.mt940,mt940,200,samples/raw/synthetic/synthetic_statement_01.mt940
synthetic,synthetic_statement_01.ofx,ofx,515,samples/raw/synthetic/synthetic_statement_01.ofx
synthetic,synthetic_statement_01.qfx,qfx,374,samples/raw/synthetic/synthetic_statement_01.qfx
synthetic,synthetic_statement_export_01.csv,csv,174,samples/raw/synthetic/synthetic_statement_export_01.csv
tsb,tsb_mastercard_card_summary_sample_2022.pdf,pdf,222977,samples/raw/tsb/tsb_mastercard_card_summary_sample_2022.pdf
westpac,westpac_choices_home_loan_summary_sample_2015.pdf,pdf,118181,samples/raw/westpac/westpac_choices_home_loan_summary_sample_2015.pdf
westpac,westpac_choices_home_loan_summary_sample_2020.pdf,pdf,128428,samples/raw/westpac/westpac_choices_home_loan_summary_sample_2020.pdf
westpac,westpac_debitcard_01.csv,csv,384,samples/raw/westpac/westpac_debitcard_01.csv
westpac,westpac_how_to_read_credit_card_statement_guide.pdf,pdf,256361,samples/raw/westpac/westpac_how_to_read_credit_card_statement_guide.pdf
westpac,westpac_transaction_export_01.csv,csv,449,samples/raw/westpac/westpac_transaction_export_01.csv
westpac,westpac_xero_import_sample_01.csv,csv,844,samples/raw/westpac/westpac_xero_import_sample_01.csv
